entry_i,entry_p,atr,tp,sl,hp_i,slope,intercept,resist_s,tl_err,max_dist,vol,adx,exit_i,exit_p,return
1588,2.3138516,0.002244081734458022,2.3205838401283008,2.3071193497215527,1648,-4.8098561184846984e-05,2.314499077793973,-0.02143351574333966,0.11141661570797988,0.2581435188069158,0.0116045073347619,15.252430764152534,1648.0,2.3141837,0.00033211708
1650,2.3141637,0.0019198387178579028,2.319923200998544,2.308404168691397,1710,-2.9785478669342963e-05,2.3145739358447313,-0.015514573381756092,0.0768151431304824,0.2073568204054931,0.8529446203833873,12.377047305276857,1710.0,2.3128603,-0.0013034344
1712,2.3133814,0.0017233494892030352,2.3185514819545476,2.3082113850193293,1772,-5.26250514667158e-05,2.3140335456118915,-0.0305364940752977,0.07781663863425137,0.2838480951579508,20.487427719827934,21.124388428954102,1772.0,2.3150423,0.0016608238
1777,2.3149157,0.00171621927204913,2.3200643148596045,2.3097669992273095,1837,-6.493854005639284e-05,2.3158166074494275,-0.03783813706908068,0.0859719855922633,0.19141341837713335,4.191232071737872,20.943931376988733,1837.0,2.3149393,2.360344e-05
1844,2.314872,0.0014293938371549777,2.3191602079549463,2.3105838449320166,1904,-8.459129711113756e-06,2.314996938859543,-0.0059179838972515456,0.050087941064485136,0.12316964474694443,1.9491338748053173,15.62591761670367,1904.0,2.3144987,-0.0003733635
1916,2.3144588,0.001175290108775907,2.317984717372226,2.3109329767195708,1976,-1.2967531140925117e-05,2.3146182439496368,-0.011033472539329982,0.04324231506713054,0.1287262361175319,0.012788245514514074,20.245297646078402,1976.0,2.3147848,0.0003259182
1979,2.3148363,0.000980149981652196,2.317776713601573,2.3118958137116596,2039,1.147871860490785e-06,2.314813031298969,0.0011711185859085234,0.04409049437870067,0.15046201882401583,0.2513084618806085,24.604766935440736,2039.0,2.314451,-0.00038528442
2040,2.314467,0.0008759357065196217,2.3170947603971466,2.311839146158029,2100,-2.0066698101579657e-05,2.3147574261818478,-0.022908870996150157,0.11478252219071845,0.2853890705058307,0.019015645508465743,26.57872869680968,2100.0,2.3147411,0.00027418137
2105,2.3147926,0.0008463541725915367,2.317331695574415,2.312253570538866,2165,-1.7077706309570255e-05,2.3150048602722704,-0.020177966698360233,0.11010981074211239,0.28343189952145287,6.403454030391936,20.3705171720717,2165.0,2.3151016,0.00030899048
2174,2.3151608,0.000763569498988016,2.3174514598397375,2.3128700428458093,2234,-6.473064422535629e-06,2.3151903271675103,-0.008477374267980316,0.0669655322781697,0.1442246473073707,4.335613353171368,29.371008175895636,2234.0,2.3146021,-0.00055861473
2235,2.31463,0.000720559866951761,2.3167917111865486,2.312468351984838,2295,-1.1649317553401526e-05,2.3147796256820787,-0.01616703633895476,0.08435809003920235,0.22825245407037756,1.0293396339307324,28.19596029344938,2295.0,2.3138916,-0.00073838234
2300,2.3138838,0.0008036194457046654,2.3162946397702195,2.3114729230959914,2360,-2.4666804848954828e-05,2.3142204239409416,-0.03069463410921494,0.08863653935167404,0.25886597128295574,36.280095971034285,22.521984991341387,2360.0,2.3133574,-0.0005264282
2366,2.313196,0.0010061250096822672,2.3162143188614444,2.3101775688033506,2426,-4.626129329592188e-05,2.3137737048501124,-0.04597966738798306,0.11265446613736457,0.29168244621605166,0.151905096712603,29.23140851542961,2426.0,2.3140159,0.0008199215
2427,2.3140037,0.0012318280691230154,2.3176991901857624,2.3103082217710247,2487,-3.151135243108766e-05,2.314457024259963,-0.02558096638723436,0.1701377233465838,0.3076463604464553,0.4947592648194782,17.863552001547358,2487.0,2.3157082,0.0017044544
2493,2.3155785,0.0018320219542957272,2.3210745265562465,2.3100823948304723,2553,-7.304835117083194e-05,2.316399943343648,-0.039873076302141514,0.10688438294571365,0.4054561231886784,10.062754779763528,21.526464134461403,2553.0,2.3143234,-0.0012550354
2555,2.3143075,0.0018739619530119915,2.319929337107205,2.308685565389133,2615,-6.013940020550077e-05,2.3150953020700644,-0.032092113774689825,0.05728422055015064,0.15328124168981422,0.24933521526083682,14.043415240174513,2615.0,2.3135586,-0.00074887276
2621,2.313639,0.0019008999893917777,2.3193416255205435,2.307936225584193,2681,-8.064404821263895e-05,2.314614827220433,-0.04242414049275799,0.18122630291084035,0.41831784393901483,0.5679035231212903,19.39991221453674,2681.0,2.3120296,-0.0016093254
2685,2.3118742,0.0020206437710102447,2.317936082542889,2.305812219916828,2745,-0.0001156167792421827,2.313588061236909,-0.057217794101519795,0.1422271621907665,0.418357325280073,9.153148649845235,22.165869899360185,2745.0,2.3119845,0.0001103878
2747,2.312148,0.0019971954573777414,2.3181396805493795,2.3061565078051127,2807,-7.090916765044142e-05,2.313042559247506,-0.03550437058551248,0.08083666247792241,0.2987590737590506,0.3421081603029293,18.37740170854743,2807.0,2.3130867,0.00093865395
2814,2.3129613,0.001873189843359489,2.31858090948064,2.307341770420483,2874,-2.2224141795265046e-05,2.3132748444703712,-0.011864329648193566,0.0774321032721885,0.21336562161789124,0.5615800273548495,24.60043950682221,2874.0,2.3122258,-0.0007355213
